"","team","position","type","count"
"488","BYU","EDGE","Outgoing",1
"489","BYU","EDGE","Delta",1
"490","BYU","IOL","Incoming",1
"491","BYU","IOL","Outgoing",1
"492","BYU","IOL","Delta",0
"493","BYU","LB","Incoming",1
"494","BYU","LB","Outgoing",3
"495","BYU","LB","Delta",-2
"496","BYU","LS","Incoming",0
"497","BYU","LS","Outgoing",1
"498","BYU","LS","Delta",-1
"499","BYU","OT","Incoming",1
"500","BYU","OT","Outgoing",0
"501","BYU","OT","Delta",1
"502","BYU","P","Incoming",0
"503","BYU","P","Outgoing",1
"504","BYU","P","Delta",-1
"505","BYU","QB","Incoming",1
"506","BYU","QB","Outgoing",2
"507","BYU","QB","Delta",-1
"508","BYU","RB","Incoming",0
"509","BYU","RB","Outgoing",2
"510","BYU","RB","Delta",-2
"511","BYU","S","Incoming",1
"512","BYU","S","Outgoing",2
"513","BYU","S","Delta",-1
"514","BYU","TE","Incoming",2
"515","BYU","TE","Outgoing",3
"516","BYU","TE","Delta",-1
"517","BYU","WR","Incoming",1
"518","BYU","WR","Outgoing",4
"519","BYU","WR","Delta",-3
"520","Ball State","CB","Incoming",1
"521","Ball State","CB","Outgoing",2
"522","Ball State","CB","Delta",-1
"523","Ball State","DL","Incoming",1
"524","Ball State","DL","Outgoing",2
"525","Ball State","DL","Delta",-1
"526","Ball State","EDGE","Incoming",2
"527","Ball State","EDGE","Outgoing",1
"528","Ball State","EDGE","Delta",1
"529","Ball State","IOL","Incoming",3
"530","Ball State","IOL","Outgoing",1
"531","Ball State","IOL","Delta",2
"532","Ball State","K","Incoming",0
"533","Ball State","K","Outgoing",1
"534","Ball State","K","Delta",-1
"535","Ball State","LB","Incoming",0
"536","Ball State","LB","Outgoing",1
"537","Ball State","LB","Delta",-1
"538","Ball State","OT","Incoming",1
"539","Ball State","OT","Outgoing",3
"540","Ball State","OT","Delta",-2
"541","Ball State","P","Incoming",1
"542","Ball State","P","Outgoing",0
"543","Ball State","P","Delta",1
"544","Ball State","QB","Incoming",2
"545","Ball State","QB","Outgoing",1
"546","Ball State","QB","Delta",1
"547","Ball State","RB","Incoming",2
"548","Ball State","RB","Outgoing",2
"549","Ball State","RB","Delta",0
"550","Ball State","S","Incoming",5
"551","Ball State","S","Outgoing",3
"552","Ball State","S","Delta",2
"553","Ball State","TE","Incoming",2
"554","Ball State","TE","Outgoing",2
"555","Ball State","TE","Delta",0
